moral_weight,mode,n_runs,n_episodes,win_pct,loss_pct,m24_pct
0,self_play,5,200000,94.0915,4.5575,1.351
0.1,self_play,1,40000,93.13749999999999,5.16,1.7025
0.3,self_play,1,40000,92.83500000000001,6.035,1.13
0.5,self_play,1,40000,93.45750000000001,4.797499999999999,1.745
0.7,self_play,1,40000,95.1575,3.94,0.9025
1,self_play,4,160000,94.70125,4.37375,0.9249999999999999
1.5,self_play,1,40000,95.5275,3.8575,0.615
2,self_play,1,40000,94.99499999999999,4.2625,0.7425
0,vs_random,3,90000,37.34,13.405555555555557,49.254444444444445
1,vs_random,1,40000,51.315,14.442499999999999,34.2425
0,vs_uniform,1,40000,58.58,5.3374999999999995,36.0825
1,vs_uniform,1,40000,53.207499999999996,9.1375,37.655
